an,aragonés
ang,anglés antic
as,assamés
az,azerbaidjanés
ban,balinés
ce,txetxé
cy,gal·lés
da,danés
dum,neerlandés mitjà
en,anglés
enm,anglés mitjà
fi,finés
fo,feroés
fr,francés
frm,francés mitjà
fro,francés antic
ga,irlandés
gd,gaèlic escocés
gil,gilbertés
hu,hongarés
is,islandés
ja,japonés
jv,javanés
kho,khotanés
kl,grenlandés
lb,luxemburgués
li,limburgués
mad,madurés
mga,gaèlic irlandés mitjà
mh,marshallés
mt,maltés
mwl,mirandés
ne,nepalés
nl,neerlandés
pl,polonés
pt,portugués
ro,romanés
rup,aromanés
rw,ruandés
sco,escocés
sga,irlandés antic
si,singalés
sl,eslové
sq,albanés
su,sundanés
th,tailandés
tkl,tokelaués
to,tongalés
uk,ucraïnés
yue,cantonés
zh,xinés
