af,ئه‌فریكای
am,ئەمهەرینجی
ar,عەرەبی
as,ئاسامی
az,ئازەربایجانی
az_Arab,ئازەربایجانی باشووری
be,بێلاڕووسی
bg,بۆلگاری
bn,بەنگلادێشی
br,برێتونی
bs,بۆسنی
ca,كاتالۆنی
ckb,کوردیی ناوەندی
cs,چەكی
cy,وێلزی
da,دانماركی
de,ئاڵمانی
el,یۆنانی
en,ئینگلیزی
en_AU,ئینگلیزیی ئۆسترالیایی
en_CA,ئینگلیزیی کەنەدایی
en_GB,ئینگلیزیی بریتانیایی
en_US,ئینگلیزیی ئەمەریکایی
eo,ئێسپیرانتۆ
es,ئیسپانی
et,ئیستۆنی
eu,باسکی
fa,فارسی
fi,فینلەندی
fil,تاگالۆگی
fo,فه‌رئۆیی
fr,فەرانسی
fy,فریسیی ڕۆژاوا
ga,ئیرلەندی
gd,گه‌لیكی سكۆتله‌ندی
gl,گالیسی
gn,گووارانی
gu,گوجاراتی
he,هیبرێ
hi,هیندی
hr,كرواتی
hu,هەنگاری (مەجاری)
hy,ئەرمەنی
ia,ئینترلینگوی
id,ئێەندونیزی
ie,ئینتەرلیگ
is,ئیسلەندی
it,ئیتالی
ja,ژاپۆنی
jv,جاڤانی
ka,گۆرجستانی
kk,کازاخی
km,کامبۆجی (زوبان)
kn,كه‌نه‌دایی
ko,كۆری
ku,کوردی
ky,كرگیزی
la,لاتینی
ln,لينگالا
lo,لاوی
lt,لیتوانی
lv,لێتۆنی
mk,ماكێدۆنی
ml,مالایلام
mn,مەنگۆلی
mr,ماراتی
ms,مالیزی
mt,ماڵتایی
mzn,مازەندەرانی
ne,نیپالی
nl,هۆڵەندی
no,نۆروێژی
oc,ئۆسیتانی
or,ئۆرییا
pa,پەنجابی
pl,پۆڵۆنیایی (لەهستانی)
ps,پەشتوو
pt,پورتوگالی
pt_BR,پورتوگاڵی برازیل
pt_PT,پورتوگاڵی (پورتوگاڵ)
ro,ڕۆمانی
ru,ڕووسی
sa,سانسکريت
sd,سيندی
sdh,کوردیی باشووری
sh,سێربۆكرواتی
si,سینهەلی
sk,سلۆڤاكی
sl,سلۆڤێنی
sma,سامی باشووری
so,سۆمالی
sq,ئاڵبانی
sr,سەربی
st,سێسۆتۆ
su,سودانی
sv,سویدی
sw,سواهیلی
ta,تامیلی
te,تەلۆگوی
tg,تاجیکی
th,تایلەندی
ti,تیگرینیای
tk,تورکمانی
tlh,كلینگۆن
tr,تورکی
tw,توی
ug,ئويخووری
uk,ئۆكراینی
und,زمانی نەناسراو
ur,ئۆردوو
uz,ئوزبەکی
vi,ڤیەتنامی
xh,سسوسا
yi,یوددی
zh,چینی
zu,زولو
