ar,а҆ра́вскїй
be,бѣлорꙋ́сскїй
cu,церковнослове́нскїй
de,нѣме́цкїй
de_AT,а҆ѵстрі́йскїй нѣме́цкїй
de_CH,є҆лветі́йскїй нѣме́цкїй
en,а҆нглі́йскїй
en_AU,а҆ѵстралі́йскїй а҆нглі́йскїй
en_CA,кана́дскїй а҆нглі́йскїй
en_GB,брїта́нскїй а҆нглі́йскїй
en_US,а҆мерїка́нскїй а҆нглі́йскїй
es,і҆спа́нскїй
es_419,латїноамерїка́нскїй і҆спа́нскїй
es_ES,є҆ѵрѡпе́йскїй і҆спа́нскїй
es_MX,і҆спанскїй (ме́ѯїка)
fr,францꙋ́зскїй
fr_CA,кана́дскїй францꙋ́зскїй
fr_CH,є҆лветі́йскїй францꙋ́зскїй
it,і҆талїа́нскїй
ja,ꙗ҆пѡ́нскїй
kk,каза́хскїй
pt,портога́льскїй
pt_BR,бразі́льскїй портога́льскїй
pt_PT,є҆ѵрѡпе́йскїй портога́льскїй
ro,дакорꙋмы́нскїй
ro_MD,молда́вскїй
ru,рꙋ́сскїй
uk,ᲂу҆краи́нскїй
und,невѣ́домый ѧ҆зы́къ
zh,хи́нскїй
zh_Hans,ᲂу҆проще́нный хи́нскїй
zh_Hant,традїцїо́нный хи́нскїй
