ab,abjasio
af,afrikáans
am,amárico
ar,árabe
ar_001,árabe estándar moderno
as,asamés
az,azerbaiyano
be,bielorruso
bg,búlgaro
bn,bengalí
bo,tibetano
bs,bosnio
ca,catalán
cs,checo
cy,galés
da,danés
de,alemán
de_AT,alemán austríaco
de_CH,alto alemán suizo
el,griego
en,inglés
en_AU,inglés australiano
en_CA,inglés canadiense
en_GB,inglés británico
en_US,inglés estadounidense
eo,esperanto
es,español
es_419,español latinoamericano
es_ES,español de España
es_MX,español de México
et,estonio
eu,vasco
fa,persa
fi,finés
fil,filipino
fj,fiyiano
fo,feroés
fr,francés
fr_CA,francés canadiense
fr_CH,francés suizo
fy,frisón occidental
ga,irlandés
gl,gallego
gn,guaraní
gsw,alemán suizo
gu,gujarati
ha,hausa
haw,hawaiano
he,hebreo
hi,hindi
hr,croata
ht,haitiano
hu,húngaro
hy,armenio
id,indonesio
ig,igbo
is,islandés
it,italiano
ja,japonés
jgo,ngomba
jv,javanés
ka,georgiano
kk,kazajo
km,jemer
kn,canarés
ko,coreano
ks,cachemiro
ku,kurdo
ky,kirguís
la,latín
lb,luxemburgués
lo,laosiano
lt,lituano
lv,letón
mg,malgache
mgo,meta'
mi,maorí
mk,macedonio
ml,malayalam
mr,maratí
ms,malayo
mt,maltés
my,birmano
nb,bokmal noruego
ne,nepalí
ng,ndonga
nl,neerlandés
nl_BE,flamenco
nn,nynorsk noruego
or,oriya
pa,panyabí
pl,polaco
ps,pastún
pt,portugués
pt_BR,portugués de Brasil
pt_PT,portugués de Portugal
qu,quechua
rm,romanche
ro,rumano
ru,ruso
sa,sánscrito
sd,sindhi
si,cingalés
sk,eslovaco
sl,esloveno
so,somalí
sq,albanés
sr,serbio
su,sondanés
sv,sueco
sw,swahili
ta,tamil
te,telugu
tg,tayiko
th,tailandés
ti,tigriña
tk,turcomano
to,tongano
tr,turco
tt,tártaro
ug,uigur
uk,ucraniano
und,lengua desconocida
ur,urdu
uz,uzbeko
vi,vietnamita
wo,wólof
xh,xhosa
yo,yoruba
zgh,tamazight estándar marroquí
zh,chino
zh_Hans,chino simplificado
zh_Hant,chino tradicional
zu,zulú
zxx,sin contenido lingüístico
