aa,آفاری
ab,آبخازی
ace,آچئی
ach,آچولیایی
ada,آدانگمه‌ای
ady,آدیجیایی
ae,اوستایی
af,آفریکانس
afh,آفریهیلی
ain,آینویی
ak,آکان
akk,آکدی
ale,آلئوتی
alt,آلتایی جنوبی
am,امهری
an,آراگونی
ang,انگلیسی باستان
anp,آنگیکا
ar,عربی
ar_001,عربی رسمی
arc,آرامی
arn,آروکانیایی
arp,آراپاهویی
arw,آراواکی
as,آسامی
av,آواری
ay,آیمارایی
az,ترکی آذربایجانی
ba,باشغیری
bal,بلوچی
ban,بالیایی
bas,باسایی
bax,بمونی
be,بلوروسی
bej,بجایی
bem,بمبایی
bg,بلغاری
bho,بوجپوری
bi,بیسلاما
bik,بیکولی
bin,بینی
bm,بامبارایی
bn,بنگالی
bo,تبتی
br,برتانیایی
bra,براج
bs,بوسنیایی
bua,بوریاتی
bug,بوگیایی
byn,بلین
ca,کاتالان
cad,کادویی
car,کاریبی
ce,چچنی
ceb,سبویی
ch,چامورویی
chb,چیبچا
chg,جغتایی
chk,چوکی
chm,ماریایی
cho,چوکتویی
chp,چیپه‌ویه‌ای
chr,چروکیایی
chy,شایانی
ckb,کردی سورانی
co,کورسی
cop,قبطی
cr,کریایی
crh,ترکی کریمه
cs,چکی
csb,کاشوبی
cu,اسلاوی کلیسایی
cv,چوواشی
cy,ویلزی
da,دانمارکی
dak,داکوتایی
dar,دارقینی
de,آلمانی
de_AT,آلمانی اتریش
de_CH,آلمانی علیای سوئیس
del,دلاواری
dgr,دوگریب
din,دینکایی
doi,دوگری
dsb,صُربی سفلی
dua,دوآلایی
dum,هلندی میانه
dv,مالدیوی
dyu,دایولایی
dz,جونخایی
ee,اوه‌ای
efi,افیکی
egy,مصری کهن
eka,اکاجوک
el,یونانی
elx,عیلامی
en,انگلیسی
en_AU,انگلیسی استرالیا
en_CA,انگلیسی کانادا
en_GB,انگلیسی بریتانیا
en_US,انگلیسی امریکا
enm,انگلیسی میانه
eo,اسپرانتو
es,اسپانیایی
es_419,اسپانیایی امریکای لاتین
es_ES,اسپانیایی اروپا
es_MX,اسپانیایی مکزیک
et,استونیایی
eu,باسکی
ewo,اواندو
fa,فارسی
fan,فانکی
fat,فانتیایی
ff,فولایی
fi,فنلاندی
fil,فیلیپینی
fj,فیجیایی
fo,فارویی
fon,فونی
fr,فرانسوی
fr_CA,فرانسوی کانادا
fr_CH,فرانسوی سوئیس
frm,فرانسوی میانه
fro,فرانسوی باستان
frr,فریزی شمالی
frs,فریزی شرقی
fur,فریولیایی
fy,فریزی غربی
ga,ایرلندی
gaa,گایی
gay,گایویی
gba,گبایایی
gd,گیلی اسکاتلندی
gez,گی‌ئزی
gil,گیلبرتی
gl,گالیسیایی
gmh,آلمانی علیای میانه
gn,گوارانی
goh,آلمانی علیای باستان
gon,گوندی
gor,گورونتالو
got,گوتی
grb,گریبویی
grc,یونانی کهن
gsw,آلمانی سوئیسی
gu,گجراتی
gv,مانی
gwi,گویچ این
ha,هوسیایی
hai,هایدایی
haw,هاوائیایی
he,عبری
hi,هندی
hil,هیلی‌گاینونی
hit,هیتی
hmn,همونگ
ho,موتویی هیری
hr,کروات
hsb,صُربی علیا
ht,هائیتیایی
hu,مجاری
hup,هوپا
hy,ارمنی
hz,هریرویی
ia,میان‌زبان
iba,آیبن
id,اندونزیایی
ie,اکسیدنتال
ig,ایگبویی
ii,یی سیچوان
ik,اینوپیک
ilo,ایلوکویی
inh,اینگوشی
io,ایدو
is,ایسلندی
it,ایتالیایی
iu,اینوکتیتوت
ja,ژاپنی
jbo,لوجبان
jpr,فارسی یهودی
jrb,عربی یهودی
jv,جاوه‌ای
ka,گرجی
kaa,قره‌قالپاقی
kab,قبایلی
kac,کاچینی
kaj,جو
kam,کامبایی
kaw,کاویایی
kbd,کاباردینی
kcg,تایپه ای
kfo,کورو
kg,کنگویی
kha,خاسیایی
kho,ختنی
ki,کیکویویی
kj,کوانیاما
kk,قزاقی
kl,گرینلندی
km,خمری
kmb,کیمبوندویی
kn,کاناده‌ای
ko,کره‌ای
kok,کنکانی
kpe,کپله‌ای
kr,کانوریایی
krc,قره‌چایی‐بالکاری
kru,کوروخی
ks,کشمیری
ku,کردی
kum,کومیکی
kut,کوتنی
kv,کومیایی
kw,کرنوالی
ky,قرقیزی
la,لاتینی
lad,لادینو
lah,لاهندا
lam,لامبا
lb,لوگزامبورگی
lez,لزگی
lg,گاندایی
li,لیمبورگی
ln,لینگالا
lo,لائوسی
lol,مونگویی
loz,لوزیایی
lt,لیتوانیایی
lu,لوبایی‐کاتانگا
lua,لوبایی‐لولوا
lui,لویسنو
lun,لوندایی
luo,لوئویی
lus,لوشه‌ای
lv,لتونیایی
mad,مادورایی
mag,ماگاهیایی
mai,مایدیلی
mak,ماکاسار
man,ماندینگویی
mas,ماسایی
mdf,مکشایی
mdr,ماندار
men,منده‌ای
mfe,موریسین
mg,مالاگاسیایی
mga,ایرلندی میانه
mh,مارشالی
mi,مائوریایی
mic,میکماکی
min,مینانگ‌کابویی
mk,مقدونی
ml,مالایالامی
mn,مغولی
mnc,مانچویی
mni,میته‌ای
moh,موهاکی
mos,ماسیایی
mr,مراتی
ms,مالایی
mt,مالتی
mul,چندین زبان
mus,کریکی
mwr,مارواری
my,برمه‌ای
myv,ارزیایی
na,نائورویی
nap,ناپلی
nb,بوکسمال نروژی
nd,انده‌بله‌ای شمالی
nds,آلمانی سفلی
ne,نپالی
new,نواریایی
ng,اندونگایی
nia,نیاسی
niu,نیویی
nl,هلندی
nl_BE,فلمنگی
nn,نرس جدید نروژی
no,نروژی
nog,نغایی
non,نرس باستان
nr,انده‌بله‌ای جنوبی
nso,سوتویی شمالی
nv,ناواهویی
nwc,نواریایی کلاسیک
ny,نیانجایی
nym,نیام‌وزیایی
nyn,نیانکوله‌ای
nyo,نیورویی
nzi,نزیمایی
oc,اوکیتایی
oj,اوجیبوایی
om,اورومویی
or,اوریه‌ای
os,آسی
osa,اوسیجی
ota,ترکی عثمانی
pa,پنجابی
pag,پانگاسینانی
pal,پهلوی
pam,پامپانگایی
pap,پاپیامنتو
pau,پالائویی
peo,فارسی باستان
phn,فنیقی
pi,پالی
pl,لهستانی
pon,پانپیی
pro,پرووانسی باستان
ps,پشتو
pt,پرتغالی
pt_BR,پرتغالی برزیل
pt_PT,پرتغالی اروپا
qu,کچوایی
raj,راجستانی
rap,راپانویی
rar,راروتونگایی
rm,رومانش
rn,روندیایی
ro,رومانیایی
ro_MD,مولداویایی
rom,رومانویی
root,ریشه
ru,روسی
rw,کینیارواندایی
sa,سنسکریت
sad,سانداوه‌ای
sah,یاقوتی
sam,آرامی سامری
sas,ساساکی
sat,سانتالی
sc,ساردینیایی
scn,سیسیلی
sco,اسکاتلندی
sd,سندی
se,سامی شمالی
sel,سلکوپی
sg,سانگویی
sga,ایرلندی باستان
sh,صرب و کرواتی
shn,شانی
shu,عربی چادی
si,سینهالی
sid,سیدامویی
sk,اسلواکی
sl,اسلووینیایی
sm,ساموآیی
sn,شونایی
snk,سونینکه‌ای
so,سومالیایی
sog,سغدی
sq,آلبانیایی
sr,صربی
srn,تاکی‌تاکی
srr,سریری
ss,سوازیایی
st,سوتویی جنوبی
su,سوندایی
suk,سوکومایی
sus,سوسویی
sux,سومری
sv,سوئدی
sw,سواحلی
swb,کوموری
swc,سواحلی کنگویی
syc,سریانی کلاسیک
syr,سریانی
ta,تامیلی
te,تلوگویی
tem,تمنه‌ای
ter,ترنو
tet,تتومی
tg,تاجیکی
th,تایلندی
ti,تیگرینیایی
tig,تیگره‌ای
tiv,تیوی
tk,ترکمنی
tl,تاگالوگی
tlh,کلینگون
tli,تلین‌گیتی
tmh,تاماشقی
tn,تسوانایی
to,تونگایی
tog,تونگایی نیاسا
tpi,توک‌پیسینی
tr,ترکی استانبولی
ts,تسونگایی
tsi,تسیم‌شیانی
tt,تاتاری
tum,تومبوکایی
tvl,تووالویی
tw,توی‌یایی
ty,تاهیتیایی
tyv,تووایی
udm,اودمورتی
ug,اویغوری
uga,اوگاریتی
uk,اوکراینی
umb,امبوندویی
und,زبان نامشخص
ur,اردو
uz,ازبکی
vai,ویایی
ve,وندایی
vi,ویتنامی
vo,ولاپوک
vot,وتی
wa,والونی
wal,والامو
war,وارایی
was,واشویی
wo,ولوفی
xal,قلموقی
xh,خوسایی
yao,یائویی
yap,یاپی
yi,یدی
yo,یوروبایی
yue,کانتونیز
za,چوانگی
zap,زاپوتکی
zen,زناگا
zgh,آمازیغی معیار مراکش
zh,چینی
zh_Hans,چینی ساده‌شده
zh_Hant,چینی سنتی
zu,زولویی
zun,زونیایی
zxx,بدون محتوای زبانی
zza,زازایی
