ab,abkhazo
ach,acoli
af,afrikaans
ak,akán
am,amárico
an,aragonés
ar,árabe
ar_001,árabe estándar moderno
arc,arameo
as,assamés
ast,asturiano
ay,aimará
az,azerbaiano
be,bielorruso
bem,bemba
bg,búlgaro
bn,bengalí
bo,tibetano
br,bretón
bs,bosnio
ca,catalán
chr,cheroqui
ckb,curdo soraní
co,corso
cs,checo
cu,eslavo eclesiástico
cy,galés
da,dinamarqués
de,alemán
de_AT,alemán de austria
de_CH,alto alemán suízo
dv,divehi
dz,dzongkha
ee,ewé
efi,ibibio
egy,exipcio antigo
el,grego
en,inglés
en_AU,inglés australiano
en_CA,inglés canadiano
en_GB,inglés británico
en_US,inglés dos Estados Unidos
eo,esperanto
es,español
es_419,español latinoamericano
es_ES,castelán
es_MX,español de México
et,estoniano
eu,éuscaro
fa,persa
fi,finés
fil,filipino
fj,fixiano
fo,faroés
fr,francés
fr_CA,francés canadiano
fr_CH,francés suízo
fy,frisón
ga,irlandés
gaa,ga
gd,gaélico escocés
gl,galego
gn,guaraní
grc,grego antigo
gsw,alemán suízo
gu,guxaratiano
ha,hausa
haw,hawaiano
he,hebreo
hi,hindi
hr,croata
ht,haitiano
hu,húngaro
hy,armenio
ia,interlingua
id,indonesio
ig,ibo
is,islandés
it,italiano
ja,xaponés
jv,xavanés
ka,xeorxiano
kg,kongo
kk,casaco
km,cambodiano
kn,kannada
ko,coreano
ks,cachemir
ku,kurdo
ky,quirguiz
la,latín
lb,luxemburgués
lg,ganda
ln,lingala
lo,laotiano
loz,lozi
lt,lituano
lua,luba-lulua
lv,letón
mfe,crioulo mauritano
mg,malgaxe
mi,maorí
mk,macedonio
ml,malabar
mn,mongol
mr,marathi
ms,malaio
mt,maltés
mul,varias linguas
my,birmano
nb,noruegués bokmal
nd,ndebele do norte
ne,nepalí
nl,holandés
nl_BE,flamenco
nn,noruegués nynorsk
no,noruegués
nso,sesotho sa leboa
ny,chewa
nyn,nyankole
oc,occitano
om,oromo
or,oriya
os,osetio
pa,punjabi
pl,polaco
ps,paxtún
pt,portugués
pt_BR,portugués brasileiro
pt_PT,portugués europeo
qu,quechua
rm,romanche
rn,rundi
ro,romanés
ru,ruso
rw,ruandés
sa,sánscrito
sd,sindhi
se,sami do norte
sg,sango
sh,serbocroata
si,cingalés
sk,eslovaco
sl,esloveno
sm,samoano
sn,shona
so,somalí
sq,albanés
sr,serbio
ss,swati
st,sesoto
su,sondanés
sv,sueco
sw,swahili
ta,tamil
te,telugu
tet,tetún
tg,taxico
th,tailandés
ti,tigriña
tk,turcomano
tl,tagalo
tlh,klingon
tn,tswana
to,tonganés
tpi,tok pisin
tr,turco
ts,xitsonga
tt,tártaro
tum,tumbuka
tw,twi
ty,tahitiano
ug,uigur
uk,ucraíno
und,lingua descoñecida ou non válida
ur,urdú
uz,uzbeco
ve,venda
vi,vietnamita
wo,wólof
xh,xhosa
yi,yiddish
yo,ioruba
zgh,tamazight de Marrocos estándar
zh,chinés
zh_Hans,chinés simplificado
zh_Hant,chinés tradicional
zu,zulú
zxx,sen contido lingüístico
