ab,աբխազերեն
af,աֆրիկաանս
am,ամհարերեն
ar,արաբերեն
ar_001,ժամանակակից ստանդարտ արաբերեն
as,ասամերեն
az,ադրբեջաներեն
be,բելառուսերեն
bg,բուլղարերեն
bn,բենգալերեն
bo,տիբեթերեն
br,Բրետոներեն
bs,բոսնիերեն
ca,կատալաներեն
cs,չեխերեն
cy,ուելսերեն
da,դանիերեն
de,գերմաներեն
de_AT,ավստրիական գերմաներեն
de_CH,շվեյցարական բարձր գերմաներեն
el,հունարեն
en,անգլերեն
en_AU,ավստրալական անգլերեն
en_CA,կանադական անգլերեն
en_GB,բրիտանական անգլերեն
en_US,ամերիկյան անգլերեն
eo,էսպերանտո
es,իսպաներեն
es_419,լատինաամերիկյան իսպաներեն
es_ES,եվրոպական իսպաներեն
es_MX,մեքսիկական իսպաներեն
et,էստոներեն
eu,բասկերեն
fa,պարսկերեն
fi,ֆիններեն
fil,ֆիլիպիներեն
fj,ֆիջիերեն
fo,ֆարյորերեն
fr,ֆրանսերեն
fr_CA,կանադական ֆրանսերեն
fr_CH,շվեյցարական ֆրանսերեն
fy,արևմտյան ֆրիզերեն
ga,իռլանդերեն
gd,Գաելյան Շոտլանդերեն
gl,գալիսերեն
gn,գուարանի
gsw,շվեյցարական գերմաներեն
gu,գուջարաթի
ha,հաուսա
haw,հավայիերեն
he,եբրայերեն
hi,հինդի
hr,խորվաթերեն
ht,հաիթերեն
hu,հունգարերեն
hy,հայերեն
ia,Ինտերլինգուա
id,ինդոնեզերեն
ie,Ինտերլինգ
ig,իգբո
is,իսլանդերեն
it,իտալերեն
ja,ճապոներեն
jv,ճավայերեն
ka,վրացերեն
kk,ղազախերեն
km,քմերերեն
kn,կաննադա
ko,կորեերեն
ks,քաշմիրերեն
ku,քրդերեն
ky,ղրղզերեն
la,լատիներեն
lb,լյուքսեմբուրգերեն
ln,Լինգալա
lo,լաոսերեն
lt,լիտվերեն
lv,լատվիերեն
mg,մալագասերեն
mi,մաորի
mk,մակեդոներեն
ml,մալայալամ
mn,Մոնղոլերեն
mr,մարաթի
ms,մալայերեն
mt,մալթերեն
my,բիրմայերեն
nb,նորվեգերեն բուկմոլ
ne,նեպալերեն
nl,հոլանդերեն
nl_BE,ֆլամանդերեն
nn,նորվեգերեն նյունորսկ
no,Նորվեգերեն
oc,Ակվիտաներեն
or,օրիյա
pa,փենջաբերեն
pl,լեհերեն
ps,փուշթու
pt,պորտուգալերեն
pt_BR,բրազիլական պորտուգալերեն
pt_PT,եվրոպական պորտուգալերեն
qu,քեչուա
rm,ռոմանշերեն
ro,ռումիներեն
ru,ռուսերեն
sa,սանսկրիտ
sd,սինդհի
sh,Սերբա-Խորվաթերեն
si,սինհալերեն
sk,սլովակերեն
sl,սլովեներեն
so,սոմալիերեն
sq,ալբաներեն
sr,սերբերեն
st,Սեսոտո
su,սունդաներեն
sv,շվեդերեն
sw,սուահիլի
ta,թամիլերեն
te,թելուգու
tg,տաջիկերեն
th,թայերեն
ti,թիգրինիա
tk,թուրքմեներեն
tlh,Կլինգոն
to,տոնգա
tr,թուրքերեն
tt,թաթարերեն
tw,Տուի
ug,ույղուրերեն
uk,ուկրաիներեն
und,անհայտ լեզու
ur,ուրդու
uz,ուզբեկերեն
vi,վիետնամերեն
wo,վոլոֆ
xh,քսոզա
yi,Իդիշ
yo,յորուբա
zgh,ստանդարտ մարոկական թամազիղտ
zh,չինարեն
zh_Hans,պարզեցված չինարեն
zh_Hant,ավանդական չինարեն
zu,զուլուսերեն
zxx,առանց լեզվային բովանդակության
