aa,Afahresch
ab,Abchahsesch
ace,Aschenehsesch
ae,Avästahnesch
aeb,Tonehsesch Arahbesch
af,Afrikaans
afh,Afrehihlesch
ak,Akahnesch
akk,Akahdesch
ale,Ale’uhtesch
am,Amhahresch
an,Arrajonehsesch
ang,Ahl Änglesch
ar,Arahbesch
ar_001,Schtandatt Arahbesch
arq,Aljehresch Arahbesch
ary,Marokahnesch Arahbesch
arz,Äjiptesch Arahbesch
as,Aßamehsesch
asa,Pare
ase,Amärrekahnesche Blendeschprohch
ast,Astuhrejahnesch
av,Avahresch
ay,Aimahresch
az,Asserbaidschahnesch
azb,Södasserbaidschahnesch
ba,Baschkihresch
bal,Beluhtschesch
ban,Balinehsesch
bar,Bairesch
be,Wiißrußesch
bem,Bemba
bez,Bena
bg,Bulljaaresch
bm,Bambara
bn,Bängjaalesch
bo,Tibehtesch
bpy,Bischnuprejahnesch
br,Bettohnesch
bra,Brajesch
brh,Brahuijesch
brx,Boddo
bs,Boßnesch
bua,Burejahtesch
bug,Bujinehsesch
ca,Kattalahnesch
co,Korsesch
cop,Koptesch
cs,Tschäschesch
csb,Kaschuhbesch
cu,Kerscheßlahwesch
cv,Tschowaschesch
cy,Wallihsesch
da,Dähnesch
de,Deutsch
de_AT,Deutsch uß Ößterich
de_CH,Deutsch uß de Schweijz
dsb,Niddersorbesch
dum,Meddelnehderlängsch
dv,Divehjesch
dz,Butahnesch
dzg,Dassajahnesch
ebu,Embu
ee,Ewe
efi,Efik
egl,Emilijahnesch
egy,Ahl Äjiptesch
el,Jrihschesch
en,Änglesch
en_AU,Änglesch uß Außtraalije
en_CA,Änglesch uß Kanada
en_GB,Änglesch uß Jruußbrettannije
en_US,Amärrekaanesch Änglesch
enm,Meddelänglesch
eo,Esperanto
es,Schpahnesch
es_419,Schpaanesch uß Latting-Ammärrika
es_ES,Schpahnesch en Schpahneje
es_MX,Schpahnesch en Mäxikoh
esu,Zätrahl-Jupik
et,Äßnesch
eu,Baskesch
fa,Pärsesch
fi,Finnesch
fil,fil
fj,Fidschesch
fo,Färröeresch
fr,Franzüüsesch
fr_CA,Franzüüsesch uß Kanada
fr_CH,Franzüüsesch uß de Schweijz
fy,Wäßfriisesch
ga,Ieresch
gl,Jalliizesch
gn,Juwaraanesch
gsw,Schwitzerdütsch
gu,Gutscharatesch
ha,Haußa
haw,Hauajaanesch
he,Hebräjesch
hi,Hindi
hr,Krowatesch
ht,Ha’iitesch
hu,Unjarresch
hy,Armeenesch
id,Indoneesesch
ig,Igbo
inh,Engjuschesch
io,Ido
is,Ißländesch
it,Etalljänesch
iu,Inuktitut
izh,Ingjrijahnesch
ja,Japaanesch
jam,Jamaikahnesch-Änglesch
jbo,Lodschbahn
jpr,Jühdesch-Pärsesch
jut,Jütesch
jv,Javahnesch
ka,Je’orjesch
kea,Kapvärdesch
kk,Kassakesch
km,Khmer
kn,Kannada
ko,Korrejaanesch
ks,Kaschmieresch
ksh,Kölsch
ku,Kurdesch
ky,Kirjihsesch
la,Lateijnesch
lah,de Landa-Schprooche
lb,Luxemborjesch
ln,Lingjalla
lo,Lahootesch
lt,Littouesch
luy,Luyjanesch
lv,Lättesch
mg,Madajaßkesch
mi,Maahori
mk,Mazedoonesch
ml,Mallajalam
mn,Mongjolesch
mr,Marraatesch
ms,Mallaijesch
mt,Malteesesch
mul,-ongerscheidlijje Schprooche-
my,Burmessesch
nb,Norrweejesch Bokmål
nd,Nood-Ndebele
ne,Nepallessesch
nl,Holländesch
nl_BE,Flämesch
nn,Neu-Norrweejesch
no,Norrweejesch
nso,Nood-Sooto
ny,Schi-Schewa
or,Oriija
os,Oßeetesch
pa,Panschaabesch
pl,Pollnesch
ps,Paschtuunesch
pt,Pochtojesesch
pt_BR,Brasilljaanesch Pochtojesesch
pt_PT,Pochtojesesch uß Pochtojall
qu,Kättschowa
rm,Rätoromaanesch
rn,K-Rundesch
ro,Rumänesch
rof,Kirombo
ru,Rußßesch
rw,Kinja-Ruandesch
sa,Sanskrit
sah,Jackutesch
sd,Sinndi
se,Nood-Lappländesch
sg,Sangjo
sh,Särbokowatesch
si,Singjaleesesch
sk,ẞlovakesch
sl,ẞloveenesch
sm,Sammohanesch
sn,Schi-Schona
so,Somaalesch
sq,Albaanesch
sr,Särbesch
ss,Si-Swatesch
st,Söd-Sooto
su,Sindaneesesch
sv,Schweedesch
sw,Suaheelesch
swb,Kommooresch
ta,Tamiilesch
te,Telluuju
tet,Tetumsch
tg,Tadschiikesch
th,Tailändesch
ti,Tijrenejaanesch
tk,Törkmeenesch
tl,Tagalog
tn,Se-Zwaanesch
to,Tongjaanesch
tpi,Took Pisin
tr,Törkesch
ts,Xi-Zongjanesch
tt,Tattaaresch
ty,Tahitesch
ug,Uj’juuersch
uk,Ukrainesch
und,-onbikannte-Schprooch-
ur,Urdu/Hindi
uz,Ußbeekesch
ve,Wenda
vi,Vijätnammeesesch
wae,Walserdütsch
wo,Woloff
xh,Isi-Khoosa
yo,Joruuba
yue,Kanton-Schineesesch
zh,Schineesesch
zh_Hans,Schineesesch en de eijfacher Schreff
zh_Hant,Schineesesch en de tradizjonälle Schreff
zu,Suulu
zxx,kein Schprooch
