ab,абхазча
af,африкаанча
am,амхарча
ar,Арабча
ar_001,азыркы араб адабий тилинде
as,ассамча
az,азербайжанча
be,беларусча
bg,болгарияча
bn,бангладешче
bo,тибетче
br,бретон
bs,боснияча
ca,каталанча
cs,чех тили
cy,уелшче
da,датча
de,немисче
de_AT,австриялык германча
de_CH,швейцариялык таза германча
el,грекче
en,англисче
en_AU,австралиялык англисче
en_CA,канадалык англисче
en_GB,британча англисче
en_US,америкалык англисче
eo,эсперанто
es,испанча
es_419,латын америкалык испанча
es_ES,европалык испанча
es_MX,мексикалык испанча
et,эстончо
eu,баскча
fa,Фарзча
fi,финче
fil,тагалча
fj,фижиче
fo,фароэче
fr,французча
fr_CA,канадалык французча
fr_CH,швейцариялык французча
fy,батыш фризче
ga,ирландча
gl,галисияча
gn,гуараш
gsw,швейцариялык германча
gu,гужаратча
ha,хаусача
haw,гаваиче
he,еврейче
hi,индусча
hr,хорватча
ht,гаитиче
hu,венгрияча
hy,армянча
id,индонезияча
ig,игбочо
is,исландча
it,италиянча
ja,япончо
jv,жаванизче
ka,грузинче
kk,казакча
km,кмерче
kn,каннадача
ko,корейче
ks,кашмирче
ku,курт
ky,кыргызча
la,латынча
lb,Люксембургча
lo,лаочо
lt,литвача
lv,латвияча
mg,малагасча
mi,маориче
mk,македонияча
ml,малайаламча
mr,маратиче
ms,малайча
mt,малтизче
my,бурмача
nb,норвежче букмалча
ne,непалча
nl,голландча
nl_BE,фламандча
nn,норвегияча
no,норвежче
or,ория
pa,пунжабиче
pl,полякча
ps,пашто
pt,португалча
pt_BR,бразилиялык португалча
pt_PT,европалык португалча
qu,кечуача
rm,романшча
ro,румынияча
ru,орусча
sa,санскритче
sd,синдхиче
sh,серб-хорват
si,сингалача
sk,словакча
sl,словенче
so,сомаличе
sq,албанча
sr,сербче
st,сесото
su,сунданча
sv,шведче
sw,суахиличе
ta,тамилче
te,телугуча
tg,тажикче
th,тайча
ti,тигриниача
tk,түркмөн
tlh,клингончо
to,тонгача
tr,туркчо
tt,татарча
tw,тви
ug,уйгурча
uk,украинче
und,белгисиз тилде
ur,урдуча
uz,озбекче
vi,вьетнамча
wo,уолофчо
xh,косача
yi,идишче
yo,йорубача
zgh,марокко тамазигт адабий тилинде
zh,кытайча
zh_Hans,жөнөкөйлөтүлгөн кытайча
zh_Hant,салттуу кытайча
zu,зулуча
zxx,тилдик мазмун жок
