ar,arābiskan
da,dāniskan
de,miksiskan
de_AT,Āustrarīkis miksiskan
de_CH,Šwēicis aūktamiksiskan
el,grēkiskan
en,ēngliskan
en_AU,Austrālijas ēngliskan
en_CA,Kanādas ēngliskan
en_GB,brītiskan ēngliskan
en_US,amērikaniskan ēngliskan
es,špāniskan
es_419,Lātiniskas Amērikas špāniskan
es_ES,eurōpiskan špāniskan
es_MX,Meksikus špāniskan
et,èstiskan
fi,sōmiskan
fr,prancōziskan
fr_CA,Kanādas prancōziskan
fr_CH,Šwēicis prancōziskan
it,wālkiskan
ja,japāniskan
lt,laītawiskan
lv,lattawiskan
nl,ullandiskan
pl,pōliskan
prg,prūsiskan
pt,pōrtugaliskan
pt_BR,Brazīlijas pōrtugaliskan
pt_PT,eurōpiskan pōrtugaliskan
ru,maskōwitiskan
sv,šwēdiskan
tr,turkiskan
und,niwaistā bilā
zh,kīniskan
zh_Hans,prastintan kīniskan
zh_Hant,tradiciōnalin kīniskan
