af,afrikaans
agq,aghem
art,idioma artifical
asa,asu
bai,bamileke Languages
bax,bamun
bbj,ghomala
bez,bena
bfd,bafut
bkm,kom
bss,akoose
bug,buginese
bum,bulu
byv,medumba
cay,cayuga
ce,chechene
cel,idioma céltico
cgg,chiga
chn,jargão chinook
ckb,sorani curdo
co,corso
cpe,crioulo ou pidgin do inglês
cpf,crioulo ou pidgin do francês
cpp,crioulo ou pidgin do português
cs,checo
cus,idioma cuchita
dav,taita
dje,zarma
dra,idioma dravítico
dyo,jola-fonyi
dyu,diula
dzg,dazaga
ee,ewe
egy,egípcio clássico
enm,inglês medieval
et,estónio
fiu,idioma ugro-finês
frm,francês medieval
frs,frísio oriental
fy,frísico ocidental
gmh,alemão medieval alto
grc,grego clássico
guz,gusii
ha,haúça
hi,hindi
hsb,sorbiano superior
hy,arménio
ibb,ibibio
ig,igbo
ik,inupiaq
jmc,machame
kbl,kanembu
kde,makonde
kea,cabo-verdiano
kg,conguês
khi,khoisan
khq,koyra chiini
kkj,kako
kln,kalenjin
kn,canarim
ks,caxemirense
ksb,shambala
ksf,bafia
lag,langi
lez,lezghiano
lg,ganda
luy,luyia
maf,mafa
mde,maba
mer,meru
mfe,crioulo das Ilhas Maurícias
mga,"irlandês, medieval"
mgh,makhuwa-meetto
mk,macedónio
mua,mundang
mye,myene
nah,nauatle
naq,nama
nb,norueguês bokmål
nds,baixo alemão
nic,nigeriano - cordofano
nmg,kwasio
nn,norueguês nynorsk
nnh,ngiemboon
non,"norse, old"
nus,nuer
oc,provençal
os,ossético
pl,polaco
pra,idioma prácito
pro,"provençal, arcaico"
ps,pastó
rom,romanês
root,root
sah,sakha
sai,idioma indígeno sul-americano
sal,salishan languages
saq,samburu
sba,ngambay
sbp,sangu
see,seneca
seh,sena
ses,koyraboro senni
sgn,linguages de sinais
shi,tachelhit
shu,árabe do Chade
ssa,idioma nilo-sariano
ssy,saho
swb,língua comoriana
swc,suaili do Congo
tai,idioma tailândes
teo,teso
tg,tajique
ti,tigre
tl,tagalogue
to,tonga
tog,toganês
trv,taroko
twq,tasawaq
tyv,tuviniano
tzm,tamazight de Marrocos Central
und,idioma desconhecido
vun,vunjo
wen,idioma sórbio
xog,soga
yav,yangben
ybb,yemba
