aa,afarščina
ab,abhaščina
ace,ačejščina
ach,ačolijščina
ada,adangmejščina
ady,adigejščina
ae,avestijščina
af,afrikanščina
afh,afrihili
ain,ainujščina
ak,akanščina
akk,akadščina
ale,aleutščina
alt,južna altajščina
am,amharščina
an,aragonščina
ang,stara angleščina
anp,angikaščina
ar,arabščina
ar_001,sodobna standardna arabščina
arc,aramejščina
arn,aravkanščina
arp,arapaščina
arw,aravaščina
as,asamščina
ast,asturijščina
av,avarščina
awa,avadščina
ay,ajmarščina
az,azerbajdžanščina
ba,baškirščina
bal,beludžijščina
ban,balijščina
bas,basa
be,beloruščina
bej,bedža
bem,bemba
bg,bolgarščina
bho,bodžpuri
bi,bislamščina
bik,bikolski jezik
bin,edo
bla,siksika
bm,bambarščina
bn,bengalščina
bo,tibetanščina
br,bretonščina
bra,bradžbakanščina
bs,bosanščina
bua,burjatščina
bug,buginščina
byn,blinščina
ca,katalonščina
cad,kadoščina
car,karibski jezik
ce,čečenščina
ceb,sebuanščina
ch,čamorščina
chb,čibčevščina
chg,čagatajščina
chk,trukeščina
chm,marijščina
chn,činuški žargon
cho,čoktavščina
chp,čipevščina
chr,čerokeščina
chy,čejenščina
ckb,soranska kurdščina
co,korziščina
cop,koptščina
cr,krijščina
crh,krimska tatarščina
cs,češčina
csb,kašubščina
cu,stara cerkvena slovanščina
cv,čuvaščina
cy,valižanščina
da,danščina
dak,dakotščina
dar,darginščina
de,nemščina
de_AT,avstrijska nemščina
de_CH,visoka nemščina (Švica)
del,delavarščina
den,slavejščina
dgr,dogrib
din,dinka
doi,dogri
dsb,dolnja lužiška srbščina
dua,duala
dum,srednja nizozemščina
dv,diveščina
dyu,diula
dz,dzonka
ee,evenščina
efi,efiščina
egy,stara egipčanščina
eka,ekajuk
el,grščina
elx,elamščina
en,angleščina
en_AU,avstralska angleščina
en_CA,kanadska angleščina
en_GB,angleščina (VB)
en_US,angleščina (ZDA)
enm,srednja angleščina
eo,esperanto
es,španščina
es_419,latinskoameriška španščina
es_ES,iberska španščina
et,estonščina
eu,baskovščina
ewo,evondovščina
fa,perzijščina
fan,fangijščina
fat,fantijščina
ff,fulščina
fi,finščina
fil,filipinščina
fj,fidžijščina
fo,ferščina
fon,fonščina
fr,francoščina
fr_CA,kanadska francoščina
fr_CH,švicarska francoščina
frm,srednja francoščina
fro,stara francoščina
frr,severna frizijščina
frs,vzhodna frizijščina
fur,furlanščina
fy,frizijščina
ga,irščina
gaa,ga
gay,gajščina
gba,gbajščina
gd,škotska gelščina
gez,etiopščina
gil,kiribatščina
gl,galicijščina
gmh,srednja visoka nemščina
gn,gvaranijščina
goh,stara visoka nemščina
gon,gondi
gor,gorontalščina
got,gotščina
grb,grebščina
grc,stara grščina
gsw,nemščina (Švica)
gu,gudžaratščina
gv,manščina
ha,havščina
hai,haidščina
haw,havajščina
he,hebrejščina
hi,hindujščina
hil,hiligajnonščina
hit,hetitščina
hmn,hmonščina
ho,hiri motu
hr,hrvaščina
hsb,gornja lužiška srbščina
ht,haitijska kreolščina
hu,madžarščina
hup,hupa
hy,armenščina
hz,herero
ia,interlingva
iba,ibanščina
id,indonezijščina
ie,interlingve
ig,igboščina
ik,inupiaščina
ilo,ilokanščina
inh,inguščina
io,ido
is,islandščina
it,italijanščina
iu,inuktitutščina
ja,japonščina
jbo,lojban
jpr,judovska perzijščina
jrb,judovska arabščina
jv,javanščina
ka,gruzinščina
kaa,karakalpaščina
kab,kabilščina
kac,kačinščina
kam,kamba
kaw,kavi
kbd,kabardinščina
kcg,tjapska nigerijščina
kg,kongovščina
kha,kasi
kho,kotanščina
ki,kikujščina
kj,kvanjama
kk,kazaščina
kl,grenlandščina
km,kmerščina
kmb,kimbundu
kn,kanada
ko,korejščina
kok,konkanščina
kos,kosrajščina
kpe,kpelejščina
kr,kanurščina
krc,karačaj-balkarščina
krl,karelščina
kru,kuruk
ks,kašmirščina
ku,kurdščina
kum,kumiščina
kut,kutenajščina
kv,komijščina
kw,kornijščina
ky,kirgiščina
la,latinščina
lad,ladinščina
lah,landa
lam,lamba
lb,luksemburščina
lez,lezginščina
lg,ganda
li,limburščina
ln,lingala
lo,laoščina
lol,mongo
loz,lozi
lt,litovščina
lu,luba-katanga
lua,luba-lulua
lui,luisenščina
lun,lunda
luo,luo
lus,lushai
lv,latvijščina
mad,madurščina
mag,magadščina
mai,maitili
mak,makasarščina
man,mandingo
mas,masajščina
mdf,mokšavščina
mdr,mandarščina
men,mende
mfe,morisjenščina
mg,malagaščina
mga,srednja irščina
mh,marshallovščina
mi,maorščina
mic,mikmaščina
min,minangkabau
mk,makedonščina
ml,malajalamščina
mn,mongolščina
mnc,mandžurščina
mni,manipurščina
moh,mohoščina
mos,mosijščina
mr,maratščina
ms,malajščina
mt,malteščina
mul,več jezikov
mwl,mirandeščina
mwr,marvarščina
my,burmanščina
myv,erzjanščina
na,naurujščina
nap,napolitanščina
nb,knjižna norveščina
nd,severna ndebelščina
nds,nizka nemščina
ne,nepalščina
new,nevarščina
nia,niaščina
niu,niuejščina
nl,nizozemščina
nl_BE,flamščina
nn,novonorveščina
no,norveščina
nog,nogajščina
non,stara nordijščina
nr,južna ndebelščina
nso,severna sotščina
nv,navajščina
nwc,klasična nevarščina
ny,njanščina
nym,njamveščina
nyn,njankole
nyo,njoro
nzi,nzima
oc,okcitanščina
oj,anašinabščina
om,oromo
or,orijščina
os,osetinščina
osa,osage
ota,otomanska turščina
pa,pandžabščina
pag,pangasinanščina
pam,pampanščina
pap,papiamentu
pau,palavanščina
peo,stara perzijščina
phn,feničanščina
pi,palijščina
pl,poljščina
pon,ponpejščina
pro,stara provansalščina
ps,paštu
pt,portugalščina
pt_BR,brazilska portugalščina
pt_PT,iberska portugalščina
qu,kečuanščina
raj,radžastanščina
rap,rapanujščina
rar,rarotongščina
rm,retoromanščina
rn,rundščina
ro,romunščina
ro_MD,moldavščina
rom,romščina
ru,ruščina
rup,aromunščina
rw,ruandščina
sa,sanskrt
sah,jakutščina
sam,samaritanska aramejščina
sas,sasaščina
sat,santalščina
sc,sardinščina
scn,sicilijanščina
sco,škotščina
sd,sindščina
se,severna samijščina
sel,selkupščina
sg,sango
sga,stara irščina
sh,srbohrvaščina
shn,šanščina
si,singalščina
sid,sidamščina
sk,slovaščina
sl,slovenščina
sm,samoanščina
sma,južna samijščina
smj,luleška samijščina
smn,inarska samijščina
sms,samijščina Skolt
sn,šonščina
so,somalščina
sq,albanščina
sr,srbščina
srn,surinamska kreolščina
srr,sererščina
ss,svazijščina
st,sesoto
su,sundanščina
suk,sukuma
sus,susujščina
sux,sumerščina
sv,švedščina
sw,svahili
swb,šikomor
syc,klasična sirščina
syr,sirščina
ta,tamilščina
te,telugijščina
tem,temnejščina
tet,tetumščina
tg,tadžiščina
th,tajščina
ti,tigrajščina
tig,tigrejščina
tiv,tivščina
tk,turkmenščina
tkl,tokelavščina
tl,tagalogščina
tlh,klingonščina
tli,tlingitščina
tmh,tamajaščina
tn,cvanščina
to,tongščina
tog,malavijska tongščina
tpi,tok pisin
tr,turščina
ts,tsonga
tsi,tsimščina
tt,tatarščina
tum,tumbukščina
tvl,tuvalujščina
tw,tvi
ty,tahitščina
tyv,tuvinščina
udm,udmurtščina
ug,ujgurščina
uga,ugaritski jezik
uk,ukrajinščina
umb,umbundščina
und,neznan ali neveljaven jezik
ur,urdujščina
uz,uzbeščina
vai,vajščina
ve,venda
vi,vietnamščina
vo,volapuk
vot,votjaščina
wa,valonščina
wal,valamščina
war,varajščina
was,vašajščina
wo,volofščina
xal,kalmiščina
xh,xhosa
yao,jaojščina
yap,japščina
yi,jidiš
yo,jorubščina
yue,kantonščina
zap,zapoteščina
zbl,znakovni jezik Bliss
zen,zenaščina
zgh,standardni maroški tamazig
zh,kitajščina
zh_Hans,poenostavljena kitajščina
zh_Hant,tradicionalna kitajščina
zu,zulujščina
zun,zunijščina
zxx,brez jezikoslovne vsebine
zza,zazajščina
